sample_id,ln_IM,ln_IDR,ln_PFA,ln_RD
47,-1.839752326,-6.120018131,-1.503182163,-6.637104425
48,-1.836763276,-6.140373256,-1.332348876,-6.555685341
49,-1.836725665,-6.381350492,-1.653503071,-6.299441762
50,-1.82536002,-6.267948941,-1.430826213,-6.358481713
51,-1.823273556,-6.300775706,-1.787602855,-6.614348792
52,-1.788413172,-6.206167173,-1.406844561,-6.325032844
53,-1.77883489,-6.105979023,-1.416672969,-6.405701295
54,-1.737928847,-6.15250745,-1.39712585,-6.266534854
55,-1.716777973,-6.179626273,-1.692971719,-6.377067276
56,-1.692394541,-6.001978407,-1.540102146,-6.369729986
57,-1.677412493,-6.049691496,-1.393648613,-6.245366516
58,-1.660898456,-6.089851775,-1.23430261,-6.311613907
59,-1.660397364,-5.917024312,-1.3108675,-6.378036123
60,-1.653104856,-6.046413944,-1.606568657,-6.292204853
61,-1.634476925,-6.035490763,-1.239155359,-6.407249828
62,-1.630430662,-6.075857771,-1.655490969,-6.269157744
63,-1.628732005,-5.998440943,-1.537392252,-6.341409229
64,-1.61627228,-6.148879088,-1.201641918,-6.224777303
65,-1.608960788,-5.972908549,-1.46547863,-6.261517316
66,-1.60013231,-6.109131723,-1.411834451,-6.193292974
67,-1.597333845,-6.02786141,-1.277005383,-6.195745296
68,-1.595189167,-5.98883334,-1.680427482,-6.237329353
69,-1.584681979,-5.951903933,-1.338561177,-6.15440014
70,-1.571080221,-6.135194763,-1.43784388,-6.232329457
71,-1.568798098,-5.907832344,-1.261013787,-6.302577827
72,-1.557029003,-6.074629058,-1.377929589,-6.274646157
73,-1.553880628,-6.137755743,-1.034765686,-6.157390658
74,-1.553456523,-6.048191379,-1.521934911,-6.15127384
75,-1.548970519,-6.023654191,-1.187200883,-6.239839425
76,-1.544230625,-5.83184937,-1.210528436,-6.14440008
77,-1.537151727,-6.024954437,-1.247789714,-6.23126551
78,-1.536680219,-6.007530787,-1.506023779,-6.343209341
79,-1.515023349,-6.070215063,-1.347083616,-6.23202879
80,-1.513786978,-6.039411037,-1.17249783,-6.335906597
81,-1.490016344,-5.855554822,-1.319218865,-6.004643834
82,-1.487406226,-5.867154771,-1.329728024,-6.223727584
83,-1.480878565,-5.907444154,-1.282326086,-6.237037758
84,-1.472140352,-5.865565855,-1.186497432,-5.933420049
85,-1.466288912,-6.136465949,-1.288161395,-6.079984467
86,-1.443392904,-5.892289924,-1.442339523,-6.216390388
87,-1.424567471,-5.808903767,-1.078697654,-6.208155179
88,-1.423401611,-5.818057388,-1.158667984,-6.057156341
89,-1.415086027,-5.895626184,-1.129562124,-6.263156262
90,-1.390439038,-5.945744491,-1.151037904,-5.936853674
91,-1.378768052,-5.807408622,-1.323067332,-5.969968687
92,-1.347419541,-5.801773549,-0.923950874,-6.139973249
93,-1.34602762,-5.73835181,-1.160328024,-5.970643354
94,-1.328744528,-5.904004034,-0.9992214924,-5.798196744
95,-1.234961794,-5.76749687,-1.209407437,-5.893548932
96,-1.223580871,-5.666846128,-1.163594737,-5.917113469
97,-1.219657906,-5.665729686,-0.9447570919,-6.0761618
98,-1.217521874,-5.727614239,-1.270296875,-6.097494129
99,-1.213842752,-5.670472922,-1.155103218,-5.968709259
100,-1.210061814,-5.616905256,-1.011359926,-6.010060917
101,-1.182289404,-5.595468583,-0.9241433024,-5.834312996
102,-1.142379424,-5.560744665,-0.9982393448,-5.944377399
103,-1.131454377,-5.579326111,-1.138230922,-6.056263146
104,-1.129367793,-5.606206511,-1.170948032,-5.829400728
105,-1.127816743,-5.668296348,-1.017166185,-5.820429505
106,-1.115336736,-5.628590185,-1.013100615,-5.88214952
107,-1.105316825,-5.437898838,-0.8885570654,-5.889041419
108,-1.098046188,-5.658465461,-0.9080875988,-5.588273548
109,-1.097275903,-5.680142699,-0.872027861,-5.866547825
110,-1.096305098,-5.639541965,-0.9826267337,-5.589073664
111,-1.084387613,-5.66986058,-0.9748683742,-5.88474513
112,-1.084210251,-5.637189292,-1.229499219,-5.846834507
113,-1.082486571,-5.71379476,-0.9677233524,-5.833012264
114,-1.081607907,-5.560402181,-1.111306481,-5.648291832
115,-1.057883428,-5.446330978,-0.9136981675,-5.895026809
116,-1.028323796,-5.558380277,-1.032068272,-5.812083555
117,-1.024755537,-5.604207452,-1.036360995,-5.998775554
118,-1.019102,-5.544491541,-0.7971529627,-5.65724782
119,-1.01849168,-5.389872458,-1.073314995,-5.921487582
120,-1.012838771,-5.482794061,-1.03611166,-5.774545106
121,-0.9638933353,-5.679122529,-0.8808857884,-5.815718111
122,-0.9497868924,-5.608728468,-0.8581374807,-5.695227401
123,-0.928590417,-5.378587562,-0.9871981389,-5.7862301
124,-0.9265088746,-5.373872313,-0.9050036492,-5.660927506
125,-0.9246700659,-5.455629359,-0.9773094288,-5.620051707
126,-0.9218492048,-5.384391502,-0.886116041,-5.814369493
127,-0.9214344409,-5.478481262,-0.9697530083,-5.742277164
128,-0.9022627471,-5.445830808,-1.104351653,-5.804483439
129,-0.898916485,-5.55042453,-0.955596488,-5.524573512
130,-0.8804699308,-5.379790139,-1.156636752,-5.691003485
131,-0.8786503213,-5.323918787,-0.9418291672,-5.705642278
132,-0.8657495193,-5.459977783,-0.8812168721,-5.815800005
133,-0.8536310763,-5.47670239,-1.004956706,-5.748179933
134,-0.8406835277,-5.236039936,-0.8267831315,-5.744035757
135,-0.8314905998,-5.436449765,-0.7372578785,-5.807192813
136,-0.8231018614,-5.39910135,-0.8587084881,-5.666352322
137,-0.8181587152,-5.334955919,-0.6444347028,-5.681369947
138,-0.8141681512,-5.414977234,-1.008067118,-5.55809242
139,-0.8089135853,-5.300183622,-1.023791654,-5.687272705
140,-0.8025763349,-5.493734395,-0.8033125486,-5.524387929
141,-0.7857482985,-5.32582461,-1.038461227,-5.880636547
142,-0.7703054651,-5.227067245,-0.6359248556,-5.507110158
143,-0.7583888943,-5.178518254,-0.6810473483,-5.485127551
144,-0.7473715994,-5.381079785,-0.8666507591,-5.409287614
145,-0.7210427725,-5.433853984,-0.7442006488,-5.69344011
146,-0.7009091694,-5.297242698,-0.7622844637,-5.626455244
147,-0.6967194451,-5.327436715,-0.877825019,-5.594262959
148,-0.6679527726,-5.140613814,-0.7021338041,-5.436830603
149,-0.6598268957,-5.117826628,-0.6587849439,-5.426407259
150,-0.6483024875,-5.185554375,-0.7329902035,-5.499727443
151,-0.6422346243,-5.211965594,-0.8560540697,-5.21480503
152,-0.6192695935,-5.275961417,-0.6649556277,-5.566455626
153,-0.6188547626,-5.187315548,-0.7869124871,-5.511532744
154,-0.6105625057,-5.321994427,-0.8065369869,-5.354656627
155,-0.5985879109,-5.173899945,-0.6573923597,-5.467745955
156,-0.572080448,-5.047622081,-0.6030130096,-5.502555854
157,-0.5204852407,-4.992071267,-0.4923568112,-5.434432254
158,-0.4927600985,-5.166201242,-0.4762463725,-5.357142877
159,-0.4908049139,-5.127387331,-0.7294438179,-5.368810817
160,-0.4615061876,-4.946747964,-0.4312541314,-5.147508842
161,-0.4459798188,-5.138717195,-0.6084119142,-5.491469973
162,-0.4295661634,-4.974933428,-0.5276417303,-5.222061443
163,-0.4167150141,-4.973702111,-0.5222386679,-5.251090831
164,-0.4099169816,-4.868944432,-0.6659924217,-5.234116233
165,-0.4058284534,-4.980150033,-0.4942934266,-5.447243277
166,-0.4038447073,-4.939271745,-0.7508024439,-5.351704245
167,-0.3989587292,-4.965228811,-0.4433707326,-5.358299647
168,-0.3962470348,-4.800431454,-0.5873516795,-5.153730126
169,-0.3847111904,-4.85337486,-0.5971126866,-5.382921567
170,-0.3747243077,-4.870549643,-0.2499899911,-5.265530424
171,-0.3713370019,-4.955885323,-0.5979144769,-5.171490046
172,-0.3595233916,-4.905083093,-0.5165110769,-5.516789417
173,-0.3527733907,-4.905470729,-0.3942624977,-5.215252729
174,-0.3502135129,-4.801661765,-0.486498679,-5.094071841
175,-0.3444436067,-4.851625433,-0.4122479288,-5.24473362
176,-0.3318725495,-4.819906041,-0.7451535445,-5.307400497
177,-0.3250032304,-4.801263199,-0.4317157644,-5.187211441
178,-0.3201705834,-4.985853947,-0.6798397899,-5.405268186
179,-0.2863394365,-4.929804117,-0.3551646563,-5.113791199
180,-0.2693390748,-4.832678919,-0.6433649285,-5.392333287
181,-0.268891369,-4.937552946,-0.4360610935,-5.188583441
182,-0.2548805977,-4.582653001,-0.6880231905,-5.37005289
183,-0.2499930265,-4.884350907,-0.3588457385,-5.275328929
184,-0.24974966,-4.732474062,-0.3452054122,-5.02650611
185,-0.2457132096,-4.887502872,-0.5594680736,-5.130220504
186,-0.2103843052,-4.71722803,-0.2927644051,-5.207269647
187,-0.2054627628,-4.77769967,-0.6870367942,-5.05334499
188,-0.1961122056,-4.781519947,-0.3218588356,-4.983106324
189,-0.1927593086,-4.71900478,-0.4674677448,-5.256160645
190,-0.1765573085,-4.806720294,-0.2842208199,-5.005368669
191,-0.1572117983,-4.814755367,-0.2860570807,-5.095221172
192,-0.1550792808,-4.57428025,-0.3008532707,-5.106757066
193,-0.1486532703,-4.842302873,-0.4114790447,-5.00428269
194,-0.1249492138,-4.669594062,-0.1012516169,-4.864487333
195,-0.1003403342,-4.643585676,-0.2559083875,-4.90935573
196,-0.09194436659,-4.552638705,-0.3410887812,-5.098428195
197,-0.08145734706,-4.46587014,-0.2260802095,-4.867293103
198,-0.08091957388,-4.639397937,-0.3512915151,-4.826856696
199,-0.08080120813,-4.605203301,-0.2279670269,-5.113298025
200,-0.05548930051,-4.717558531,-0.1986433242,-4.834670662
201,-0.05534431185,-4.698526677,-0.05262182887,-4.878960906
202,-0.04043681622,-4.581219738,-0.3057253371,-4.805201
203,-0.02354765139,-4.455674576,-0.2697877468,-4.845033587
204,-0.002772674184,-4.320559879,-0.2941318666,-4.846194116
205,-0.002153928459,-4.542503292,0.06319627093,-4.880339312
206,0.002697105088,-4.724354371,-0.1998136577,-4.923378034
207,0.01770683791,-4.35601178,-0.2683473819,-4.803607881
208,0.02375003353,-4.621833323,-0.08817037376,-4.88346267
209,0.03919067941,-4.436648558,-0.3098208947,-4.608853776
210,0.09112490968,-4.329262436,0.07180039386,-4.647736843
211,0.09257166708,-4.330238011,0.01755070143,-4.404998191
212,0.1383107523,-4.336602337,-0.09401320774,-4.666294704
213,0.1793139204,-4.124320255,-0.07381935462,-4.392391724
214,0.1942147469,-4.256294937,0.08885993992,-4.370870893
215,0.2066764193,-4.40698491,0.02364450531,-4.69500985
216,0.2186657803,-4.242320659,0.2191249115,-4.508270265
217,0.230037093,-4.10651852,-0.0119419912,-4.673798841
218,0.2723052437,-4.285486766,0.105842505,-4.477749579
219,0.293894542,-4.018236468,0.1357403663,-4.315552994
220,0.2958153833,-3.989134035,-0.05023599154,-4.246995983
221,0.301120839,-3.960216696,-0.02767907744,-4.591341352
222,0.3028168446,-4.116104092,0.1045590067,-4.32147893
223,0.3137258849,-3.940773772,-0.04478012487,-4.330723034
224,0.3248647223,-4.206740854,-0.1082417377,-4.381696671
225,0.3279193733,-4.001475887,0.1563688839,-4.283660367
226,0.3398397024,-4.020347902,0.3831689352,-4.113922227
227,0.3410170094,-3.910502511,0.08846885879,-4.260647552
228,0.3846173086,-4.041502019,0.2631357578,-4.1305586
229,0.3947271491,-4.212536501,-0.04236232589,-4.389057139
230,0.3976792693,-3.724908958,0.1446991752,-4.266653077
231,0.4210684921,-4.019501343,0.1860347544,-4.018693476
232,0.4212660238,-3.915514789,0.0458791904,-4.40121937
233,0.422941182,-4.072314745,0.3313708492,-4.069848838
234,0.4283955685,-3.755478953,0.29697768,-4.083896495
235,0.4321918591,-3.81826678,0.1783811621,-4.270477142
236,0.4330620555,-4.136811281,0.1823074596,-4.032292522
237,0.4412427514,-3.947438731,0.2995678932,-4.263052794
238,0.4613625698,-3.841125008,0.3658060657,-4.156893431
239,0.480771839,-4.063268614,0.1089812622,-3.95572718
240,0.4845342467,-3.517841034,-0.01726318041,-4.124974109
241,0.4922432016,-3.863244273,0.04141900779,-4.1248547
242,0.5001693107,-3.884503956,0.2406301465,-4.161871824
243,0.5402160255,-3.765695039,0.3296210904,-3.581426068
244,0.5637315708,-3.731488526,0.2767211273,-4.118469537
245,0.5809074295,-3.669252369,0.03097900432,-3.772976857
246,0.6053266895,-3.76848446,0.7266830109,-3.831841203
247,0.6106820154,-3.639431931,0.3153584886,-3.757094288
248,0.6179573944,-3.55616559,0.4099168465,-3.780705905
249,0.6235315822,-3.457121059,0.1598650212,-3.568025632
250,0.6328770041,-3.731944894,0.3497719519,-3.843778854
251,0.6350666328,-3.715563518,0.306876968,-3.63840549
252,0.6416396542,-3.544469794,0.2975426301,-3.774628075
253,0.6437077209,-3.617577114,0.02694186913,-3.864198804
254,0.6465308648,-3.486336243,0.3739718222,-4.039839143
255,0.6518943299,-3.548555687,0.3479463355,-3.672487499
256,0.6559812061,-3.469988582,0.2978016181,-3.764882994
257,0.6627163096,-3.815396539,0.1222550663,-3.772901914
258,0.676325493,-3.353221381,0.3080259052,-3.680115239
259,0.6915266775,-3.464016953,0.3718814505,-3.560328366
260,0.7184236299,-3.395835807,0.3008213997,-3.649796885
261,0.7223771573,-3.63662042,0.02922766473,-3.915127538
262,0.733356315,-3.45845389,0.4437908128,-3.72600662
263,0.7340082102,-3.342153492,0.4766077378,-3.516697057
264,0.7413425575,-3.413445323,0.4490689252,-3.440778116
265,0.743179541,-3.439297547,0.5743818187,-3.351503462
266,0.7512436049,-3.269361517,0.7085857158,-3.731769078
267,0.7523774482,-3.414392016,0.6636227604,-3.485971408
268,0.7555944317,-3.219238833,0.5731290888,-3.610261398
269,0.762972586,-3.230592246,0.3938775377,-3.51150178
270,0.7693590503,-3.307632055,0.6045156417,-3.23889059
271,0.7698529941,-3.148303982,0.7665905733,-3.733308862
272,0.7826870456,-3.417870252,0.6779584979,-3.406582098
273,0.8441007859,-3.065973805,0.1565939835,-3.462469567
274,0.846973097,-3.015132117,0.5045349683,-3.108028411
275,0.8516107478,-3.425079271,0.7157620052,-3.438351753
276,0.8802433777,-3.27430609,0.795590065,-3.460277817
277,0.8831413389,-3.34655361,0.4790681511,-3.532794628
278,0.9039651031,-3.297967511,0.4354747295,-3.651436659
279,0.9470598453,-2.995559351,0.8178986483,-3.216782615
280,0.9499832269,-2.997324238,0.7338706369,-3.275667789
281,0.9674460667,-2.907320306,0.8499168462,-3.484599037
282,0.9776798613,-3.095851926,0.5442667721,-3.181250481
283,0.9810148246,-2.817182687,0.5602565545,-3.1170487
284,0.9888126891,-3.147054424,0.866202277,-3.364303934
285,0.9904293331,-3.102830452,0.6865704916,-3.192731743
286,0.9957687957,-2.927680774,0.7157391065,-3.234344675
287,0.9994233295,-3.228626773,0.9021883626,-3.258291231
288,1.042285584,-2.967484764,0.5621437716,-3.084689969
289,1.055565284,-2.813430903,0.6666125079,-3.015267514
290,1.09772601,-3.085358672,0.724215872,-2.845258798
291,1.108305535,-2.927868412,0.5991901473,-2.79998517
292,1.122461922,-3.17120744,0.7307611372,-3.214143449
293,1.125847954,-2.742921255,0.714652169,-2.749029048
294,1.134108021,-2.98330981,0.8947563424,-3.034821225
295,1.139377145,-3.151246505,0.6480371198,-3.536484556
296,1.143347144,-2.576586512,0.9914431453,-2.649728623
297,1.150480965,-2.810298901,0.9616431884,-2.703096462
298,1.151247656,-2.883621567,0.7345040659,-3.209534073
299,1.166431096,-2.786646768,1.021775441,-3.102142693
300,1.166971732,-2.920881087,1.015477951,-2.851151082
